month,hour,weekday_kw,weekend_kw
1,0,0.906361836,0.962178926
1,1,0.869605732,0.913663073
1,2,0.859833506,0.894469328
1,3,0.86072087,0.866497248
1,4,0.88818715,0.873391134
1,5,1.004463763,0.927631897
1,6,1.193493963,1.076177684
1,7,1.293057638,1.271210747
1,8,1.384332515,1.460872844
1,9,1.441800843,1.494460117
1,10,1.444606208,1.534014675
1,11,1.45327472,1.508629168
1,12,1.414505109,1.487959503
1,13,1.395341402,1.532434975
1,14,1.398486733,1.484875283
1,15,1.458789837,1.479862653
1,16,1.630932229,1.587764106
1,17,1.76696327,1.679216849
1,18,1.775760402,1.689834076
1,19,1.792577391,1.736628069
1,20,1.730561519,1.674831846
1,21,1.616742321,1.568144936
1,22,1.326737406,1.361865461
1,23,1.038661857,1.111213452
2,0,0.897226598,0.917169842
2,1,0.854704791,0.879127467
2,2,0.847335223,0.854861108
2,3,0.852678266,0.868150156
2,4,0.876328168,0.851718873
2,5,0.990838315,0.927014624
2,6,1.160801119,1.040199784
2,7,1.264292446,1.231082157
2,8,1.326333241,1.384484436
2,9,1.386023235,1.444871544
2,10,1.383774519,1.450086909
2,11,1.401439018,1.446419196
2,12,1.381924152,1.466819356
2,13,1.382945693,1.436511319
2,14,1.419666667,1.452828072
2,15,1.476565364,1.467718053
2,16,1.537928698,1.552663263
2,17,1.739435555,1.615151528
2,18,1.775413917,1.645057455
2,19,1.781448675,1.658332306
2,20,1.704821432,1.62583749
2,21,1.581153497,1.530193777
2,22,1.320954003,1.329662972
2,23,1.021089932,1.0588631
3,0,0.773159452,0.788447655
3,1,0.745505096,0.780520345
3,2,0.740971485,0.782417102
3,3,0.754636003,0.802741768
3,4,0.77631307,0.77817346
3,5,0.907989393,0.828904314
3,6,1.065288674,0.981953755
3,7,1.146597883,1.155568771
3,8,1.218769068,1.274491022
3,9,1.272398022,1.321999182
3,10,1.270727875,1.359800017
3,11,1.250832084,1.344713234
3,12,1.203159644,1.278985984
3,13,1.169193872,1.335364179
3,14,1.174255982,1.301314498
3,15,1.236588447,1.337138584
3,16,1.343053473,1.349304666
3,17,1.437182977,1.40632514
3,18,1.543723301,1.478714375
3,19,1.60461531,1.552080947
3,20,1.569469837,1.479754985
3,21,1.44762495,1.407996682
3,22,1.175383605,1.183476319
3,23,0.903917497,0.923780089
4,0,0.662254854,0.734459754
4,1,0.632241841,0.677052904
4,2,0.625305009,0.683654029
4,3,0.62528649,0.69137502
4,4,0.648233475,0.672390841
4,5,0.767025136,0.71499244
4,6,0.900197517,0.81755537
4,7,1.028615076,0.993979464
4,8,1.074836802,1.125314921
4,9,1.145478406,1.202785061
4,10,1.143023917,1.188436006
4,11,1.140939666,1.151696992
4,12,1.115263174,1.174194586
4,13,1.105490895,1.176701022
4,14,1.097926751,1.164160859
4,15,1.152567863,1.192755167
4,16,1.258547724,1.225415597
4,17,1.370812783,1.317635915
4,18,1.416608291,1.341190156
4,19,1.461507475,1.413588923
4,20,1.438259522,1.41133579
4,21,1.314168625,1.314843939
4,22,1.069640025,1.107163349
4,23,0.802454092,0.851717128
5,0,0.635028408,0.603121742
5,1,0.579665726,0.546681545
5,2,0.5751613,0.54080193
5,3,0.568455314,0.546948339
5,4,0.589333927,0.550000012
5,5,0.697496049,0.595760693
5,6,0.832694048,0.738829991
5,7,1.004884576,0.912623532
5,8,1.135632788,1.105269519
5,9,1.21296766,1.253753667
5,10,1.229118819,1.366515143
5,11,1.227534452,1.388387187
5,12,1.210240033,1.461333595
5,13,1.192690198,1.47645231
5,14,1.200113424,1.47148707
5,15,1.285215072,1.499345853
5,16,1.411305296,1.541509288
5,17,1.449354775,1.533480104
5,18,1.462098518,1.493634184
5,19,1.482557538,1.519458952
5,20,1.447713954,1.485521529
5,21,1.300718442,1.328166785
5,22,1.040419914,1.102579288
5,23,0.729465093,0.831986673
6,0,0.558063985,0.569168051
6,1,0.498073647,0.496518448
6,2,0.482358119,0.487966473
6,3,0.487746297,0.512728681
6,4,0.50219672,0.466432613
6,5,0.586570855,0.514713823
6,6,0.753432572,0.659190134
6,7,0.902630025,0.91422187
6,8,1.043083716,1.124078996
6,9,1.135930387,1.342982414
6,10,1.183057893,1.360996944
6,11,1.268290722,1.327550696
6,12,1.300082194,1.432346349
6,13,1.343055405,1.517287735
6,14,1.396041248,1.568891457
6,15,1.514448047,1.560426724
6,16,1.602702812,1.571778768
6,17,1.634575172,1.559183184
6,18,1.596794842,1.50760312
6,19,1.476263152,1.329154822
6,20,1.422735226,1.277002064
6,21,1.272611188,1.191187652
6,22,0.974769278,0.997919906
6,23,0.690670405,0.6954965
7,0,0.634963649,0.547118473
7,1,0.576176939,0.501631693
7,2,0.541614777,0.471006688
7,3,0.525071129,0.450167708
7,4,0.528675558,0.464802089
7,5,0.62151369,0.496594718
7,6,0.808036838,0.636551478
7,7,1.042893061,0.888542197
7,8,1.282485833,1.220199083
7,9,1.515194991,1.495641132
7,10,1.609538737,1.634031507
7,11,1.758163036,1.850958292
7,12,1.797577047,1.956103868
7,13,1.83641258,1.916246458
7,14,1.835491398,1.90088576
7,15,1.905998952,1.913808639
7,16,1.989737956,1.871549365
7,17,2.007849784,1.909148569
7,18,1.949173543,1.835260183
7,19,1.758356576,1.661411472
7,20,1.645221808,1.51323743
7,21,1.456420039,1.301209973
7,22,1.115120884,1.066026124
7,23,0.763539321,0.759450619
8,0,0.590882761,0.63902255
8,1,0.557814294,0.570509559
8,2,0.515819497,0.505871714
8,3,0.510386666,0.505362036
8,4,0.52208497,0.488100056
8,5,0.64468928,0.541371912
8,6,0.813651645,0.65097634
8,7,0.996214325,0.89084335
8,8,1.188160612,1.134139019
8,9,1.366065831,1.350147681
8,10,1.516066834,1.569022103
8,11,1.616278481,1.634367906
8,12,1.61985355,1.722963473
8,13,1.653076922,1.843602146
8,14,1.714363359,1.892661914
8,15,1.791923321,1.967956086
8,16,1.837537136,1.954255931
8,17,1.904428309,1.89734096
8,18,1.809822545,1.737048859
8,19,1.695673165,1.599640946
8,20,1.585983252,1.450726321
8,21,1.379736455,1.277212849
8,22,1.113836108,1.035762794
8,23,0.77227411,0.769924388
9,0,0.63007193,0.641038702
9,1,0.576120088,0.592464947
9,2,0.558843078,0.576690831
9,3,0.547637332,0.586413192
9,4,0.574894325,0.579769829
9,5,0.700026499,0.64069003
9,6,0.866472532,0.744715128
9,7,0.965474607,0.919608659
9,8,1.009131473,1.058728409
9,9,1.089145235,1.142202268
9,10,1.111758911,1.207593859
9,11,1.193137872,1.19037399
9,12,1.191627315,1.155893602
9,13,1.176262997,1.201542127
9,14,1.206461309,1.181818716
9,15,1.283088735,1.178164781
9,16,1.353853459,1.236221591
9,17,1.452594092,1.254052026
9,18,1.467554796,1.294865117
9,19,1.492985714,1.376495445
9,20,1.413295983,1.315417918
9,21,1.287496069,1.203083827
9,22,1.037017309,0.998698075
9,23,0.751460008,0.738743559
10,0,0.687691938,0.675497499
10,1,0.657151062,0.648051705
10,2,0.645733366,0.647923288
10,3,0.651868495,0.643810393
10,4,0.676801356,0.626835687
10,5,0.796771527,0.681404368
10,6,0.983703862,0.829096469
10,7,1.043905219,0.979163583
10,8,1.078637664,1.143324536
10,9,1.103643348,1.189520215
10,10,1.106506549,1.155677461
10,11,1.130909469,1.189396881
10,12,1.094041864,1.207120174
10,13,1.109044119,1.248838965
10,14,1.117243088,1.172688462
10,15,1.163983517,1.186088079
10,16,1.274338371,1.245925922
10,17,1.369515578,1.294814183
10,18,1.519235256,1.403768576
10,19,1.565792913,1.440224101
10,20,1.479406537,1.417576093
10,21,1.3472705,1.278927035
10,22,1.100837198,1.096186528
10,23,0.819813235,0.813339019
11,0,0.771265138,0.84816024
11,1,0.7240017,0.804548065
11,2,0.715548058,0.778330421
11,3,0.725708031,0.768685468
11,4,0.737453162,0.766781733
11,5,0.864883839,0.825187131
11,6,1.031893775,0.923009065
11,7,1.15137942,1.096432226
11,8,1.208952447,1.27856978
11,9,1.27650998,1.317313834
11,10,1.282322542,1.366472095
11,11,1.261165759,1.35500933
11,12,1.22297942,1.313372863
11,13,1.203714264,1.303325949
11,14,1.214632455,1.282683022
11,15,1.279892538,1.346334963
11,16,1.442246364,1.471010218
11,17,1.579274718,1.542667244
11,18,1.629810796,1.557327069
11,19,1.598338064,1.611027349
11,20,1.558504422,1.524443064
11,21,1.440200064,1.398352324
11,22,1.176772964,1.173830827
11,23,0.905049173,0.939216849
12,0,0.90959514,0.914722482
12,1,0.874852041,0.88617064
12,2,0.855552749,0.88572864
12,3,0.851862713,0.882804967
12,4,0.871224737,0.882457868
12,5,0.998411598,0.929039842
12,6,1.180730074,1.070153167
12,7,1.266130202,1.277214328
12,8,1.379578721,1.424169228
12,9,1.419194352,1.492390351
12,10,1.418551913,1.507027147
12,11,1.450025484,1.518775804
12,12,1.401960443,1.515411456
12,13,1.358899625,1.514696268
12,14,1.365414928,1.501113855
12,15,1.457824271,1.515836136
12,16,1.633188683,1.643885722
12,17,1.728738688,1.674934185
12,18,1.80790341,1.679409354
12,19,1.781272003,1.734618311
12,20,1.687397036,1.665173958
12,21,1.5657588,1.536031052
12,22,1.310764033,1.330987328
12,23,1.021578718,1.087553449
