month,hour,weekday_kw,weekend_kw
1,0,0.192998084,0.17558046
1,1,0.129184455,0.134675287
1,2,0.100117679,0.095640805
1,3,0.075640394,0.085402299
1,4,0.047097701,0.060899425
1,5,0.038541325,0.043123563
1,6,0.054285714,0.050114943
1,7,0.082430213,0.085537356
1,8,0.149975369,0.135563218
1,9,0.197621784,0.18866092
1,10,0.236020799,0.211117816
1,11,0.312058019,0.303477011
1,12,0.352211275,0.397422414
1,13,0.335596606,0.44579023
1,14,0.334382868,0.403428161
1,15,0.426376574,0.402247126
1,16,0.456288998,0.431261494
1,17,0.479203612,0.448083333
1,18,0.482840722,0.461603448
1,19,0.473271757,0.458505747
1,20,0.450484401,0.428149425
1,21,0.402753147,0.387939655
1,22,0.322668309,0.319341954
1,23,0.26514231,0.277132184
2,0,0.207821839,0.227083333
2,1,0.147939655,0.158789511
2,2,0.107267241,0.134432471
2,3,0.089018678,0.115714799
2,4,0.056892241,0.076630747
2,5,0.040942529,0.054798851
2,6,0.061662356,0.05387931
2,7,0.098982759,0.097431753
2,8,0.149530172,0.146368534
2,9,0.208688218,0.210427443
2,10,0.247125,0.248559626
2,11,0.307770115,0.30847342
2,12,0.358406609,0.417905891
2,13,0.356909483,0.422065374
2,14,0.371208333,0.406630747
2,15,0.41954023,0.418771552
2,16,0.472833333,0.470456178
2,17,0.525778736,0.533778736
2,18,0.54391092,0.502974138
2,19,0.515481322,0.514040948
2,20,0.487369253,0.480797414
2,21,0.443718391,0.454288793
2,22,0.369271552,0.402162356
2,23,0.281061782,0.332104885
3,0,0.244965017,0.253168103
3,1,0.182884808,0.187729885
3,2,0.137252624,0.156293103
3,3,0.112293853,0.126149425
3,4,0.068763118,0.096813937
3,5,0.053243378,0.062255747
3,6,0.062415042,0.069906609
3,7,0.110850825,0.093548851
3,8,0.18263993,0.13549569
3,9,0.212168916,0.186720546
3,10,0.271236882,0.248645833
3,11,0.363741879,0.318717672
3,12,0.387096452,0.417625718
3,13,0.385291104,0.45297773
3,14,0.398325837,0.432604167
3,15,0.487457521,0.462119253
3,16,0.534497751,0.486052443
3,17,0.566113193,0.522661638
3,18,0.56814093,0.522385057
3,19,0.565543478,0.565093391
3,20,0.546405547,0.562819684
3,21,0.496684158,0.521206897
3,22,0.405622189,0.442557471
3,23,0.332491254,0.368987069
4,0,0.257305381,0.238739224
4,1,0.178837513,0.166878592
4,2,0.137433386,0.137984914
4,3,0.110645246,0.115689655
4,4,0.074468391,0.08027658
4,5,0.052486938,0.06185704
4,6,0.075023511,0.055079023
4,7,0.102745559,0.088864943
4,8,0.158042059,0.127787356
4,9,0.207037618,0.191548132
4,10,0.263074713,0.226698994
4,11,0.338623302,0.340208333
4,12,0.370395768,0.441566092
4,13,0.378379049,0.469698276
4,14,0.396282654,0.459586925
4,15,0.460740596,0.465096983
4,16,0.500676594,0.503221983
4,17,0.558309822,0.543297414
4,18,0.546739812,0.557866379
4,19,0.526112853,0.567011494
4,20,0.484832811,0.539881466
4,21,0.442677638,0.507751437
4,22,0.389818443,0.464482759
4,23,0.351773772,0.387927443
5,0,0.207145594,0.193844828
5,1,0.148541325,0.154594828
5,2,0.120153257,0.115324713
5,3,0.08855364,0.094405172
5,4,0.055522715,0.072704023
5,5,0.041718664,0.047813218
5,6,0.060281883,0.057471264
5,7,0.104501916,0.072655172
5,8,0.157175698,0.130057471
5,9,0.191498358,0.1985
5,10,0.238835523,0.247166667
5,11,0.310347564,0.330270115
5,12,0.360381773,0.39862069
5,13,0.35635468,0.42183046
5,14,0.351235632,0.423382184
5,15,0.432712096,0.439137931
5,16,0.460946907,0.438028736
5,17,0.498665846,0.477428161
5,18,0.517484948,0.493945402
5,19,0.502209907,0.47683046
5,20,0.489480022,0.466793103
5,21,0.438040504,0.423275862
5,22,0.353802682,0.352528736
